57.52	358026016.0
58.48	377942112.0
59.49	399823072.0
60.522	423789856.0
61.63	449850656.0
62.736	477995360.0
63.828	508068896.0
64.928	539847872.0
65.908	573043584.0
66.84	607250496.0
67.592	642130176.0
68.316	677240960.0
68.952	712210304.0
69.508	746715264.0
69.876	780413056.0
70.134	813042816.0
70.434	844411328.0
70.642	874388352.0
70.818	902830144.0
70.928	929703552.0
71.046	955035136.0
71.142	978796480.0
71.244	1000993472.0
71.266	1021738752.0
71.32	1041038592.0
71.332	1059016704.0
71.394	1075752448.0
71.368	1091260928.0
71.374	1105703168.0
71.374	1119105920.0
71.362	1131568256.0
71.366	1143134208.0
71.378	1153884416.0
71.382	1163912448.0
71.388	1173242368.0
71.386	1181911552.0
71.366	1190009472.0
71.356	1197582464.0
71.358	1204630272.0
